"id","match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","home_team_name_id","away_team_name_id","home_team_goal","away_team_goal"
207,6,"14",3,"2018",17,11,"1","1"
8,3,"13",2,"2018",5,8,"5","4"
1,1,"31",1,"2019",1,2,"1","1"
30,3,"13",2,"2018",2,18,"2","0"
9,2,"30",1,"2019",14,15,"4","2"
2,1,"31",1,"2019",3,4,"4","0"
36,3,"13",2,"2018",24,3,"1","2"
10,3,"13",2,"2018",17,19,"1","2"
3,1,"31",1,"2019",5,6,"2","1"
40,5,"11",2,"2018",10,16,"0","0"
4,1,"31",1,"2019",7,8,"1","1"
11,2,"30",1,"2019",20,21,"2","1"
5,2,"30",1,"2019",9,10,"3","0"
13,3,"21",2,"2017",6,13,"0","5"
6,3,"13",2,"2018",10,11,"3","1"
12,3,"13",2,"2018",1,13,"0","1"
7,2,"30",1,"2019",12,11,"0","1"
14,2,"30",1,"2019",22,13,"2","1"
779,3,"2",9,"2018",21,20,"2","3"
15,3,"21",2,"2017",17,18,"2","1"
27,3,"21",2,"2017",7,25,"3","0"
52,1,"10",2,"2018",5,22,"1","0"
18,3,"21",2,"2017",1,19,"0","1"
31,3,"21",2,"2017",8,3,"1","1"
51,5,"19",2,"2017",8,5,"1","6"
53,3,"15",2,"2016",4,8,"1","1"
24,3,"21",2,"2017",16,2,"2","0"
35,3,"21",2,"2017",26,5,"1","7"
54,6,"19",1,"2019",9,8,"4","3"
39,3,"21",2,"2017",4,23,"5","1"
57,3,"15",2,"2016",20,28,"4","0"
43,3,"21",2,"2017",24,10,"1","2"
44,1,"10",2,"2018",8,20,"3","1"
58,7,"15",1,"2019",13,9,"3","0"
47,3,"21",2,"2017",20,11,"3","1"
48,1,"10",2,"2018",4,12,"1","1"
1513,3,"13",2,"2012",5,14,"2","0"
26,3,"13",2,"2018",12,20,"0","1"
16,3,"13",2,"2018",22,4,"3","0"
50,3,"20",1,"2019",12,13,"0","3"
29,3,"15",2,"2016",6,23,"2","2"
55,1,"10",2,"2018",13,15,"3","1"
19,3,"13",2,"2018",16,6,"1","0"
20,2,"18",2,"2016",16,3,"3","1"
32,3,"20",1,"2019",22,21,"3","0"
59,2,"9",2,"2018",17,1,"0","1"
61,1,"12",2,"2016",23,11,"3","0"
22,3,"13",2,"2018",7,15,"4","0"
34,3,"20",1,"2019",16,15,"2","1"
63,4,"7",2,"2018",4,7,"1","0"
23,3,"15",2,"2016",18,7,"1","1"
38,3,"20",1,"2019",7,2,"4","3"
42,3,"20",1,"2019",3,10,"2","0"
46,3,"20",1,"2019",20,4,"2","0"
17,2,"30",1,"2019",16,24,"2","2"
28,3,"20",1,"2019",1,11,"2","1"
49,3,"15",2,"2016",11,27,"3","0"
21,4,"21",1,"2019",14,5,"1","2"
33,3,"15",2,"2016",17,13,"1","1"
56,1,"18",2,"2017",1,16,"0","0"
25,3,"20",1,"2019",6,24,"0","0"
37,3,"15",2,"2016",19,10,"2","1"
60,2,"17",2,"2017",20,23,"2","0"
62,4,"14",1,"2019",5,16,"0","1"
41,3,"15",2,"2016",1,2,"4","1"
64,2,"17",2,"2017",13,18,"3","1"
65,1,"12",2,"2016",27,6,"4","2"
45,3,"15",2,"2016",22,5,"5","1"
66,3,"13",1,"2019",8,1,"1","2"
67,4,"7",2,"2018",20,24,"5","0"
68,7,"16",2,"2017",4,6,"4","3"
71,3,"6",2,"2018",11,1,"1","1"
69,1,"12",2,"2016",7,4,"1","1"
99,1,"3",1,"2019",9,2,"0","2"
118,1,"3",1,"2019",22,16,"0","2"
73,2,"11",2,"2016",10,16,"3","2"
72,4,"15",2,"2017",5,16,"2","1"
103,1,"3",1,"2019",10,15,"2","2"
122,2,"2",1,"2019",20,14,"4","1"
106,1,"3",1,"2019",12,24,"1","2"
75,3,"6",2,"2018",13,12,"0","0"
78,3,"14",2,"2017",19,20,"1","4"
110,1,"3",1,"2019",4,1,"0","0"
81,6,"5",2,"2018",15,16,"1","0"
114,1,"3",1,"2019",3,6,"3","3"
82,3,"14",2,"2017",2,26,"4","0"
85,6,"5",2,"2018",19,2,"1","2"
