"match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","home_team_name_id","away_team_name_id","home_position","home_won","home_drawn","home_lost","home_avg_goal","home_avg_conceded","home_change_created","home_clean_sheet","away_avg_conceded","away_avg_goal","away_change_created","away_clean_sheet","away_drawn","away_lost","away_position","away_won","season","home_team_goal","away_team_goal"
6,"26",12,"2009",10,36,"17","8","11","19","1.24","1.74","","8","1.74","0.89","","7","7","24","20","7","200910","2","0"
7,"13",12,"2009",24,14,"18","8","6","24","1.11","2.16","","3","1.21","1.03","","12","10","16","12","12","200910","1","1"
6,"26",12,"2009",14,5,"12","12","10","16","1.03","1.21","","12","1.08","1.76","","13","7","10","4","21","200910","0","0"
2,"29",12,"2009",9,13,"15","9","11","18","0.84","1.47","","8","1.18","1.92","","11","13","7","5","18","200910","0","3"
7,"27",12,"2009",7,9,"7","18","9","11","1.61","0.92","","17","1.47","0.84","","8","11","18","15","9","200910","2","0"
1,"28",12,"2009",5,10,"4","21","7","10","1.76","1.08","","13","1.74","1.24","","8","11","19","17","8","200910","2","0"
4,"17",12,"2009",4,36,"1","27","5","6","2.71","0.84","","18","1.74","0.89","","7","7","24","20","7","200910","2","1"
7,"13",12,"2009",32,13,"14","10","9","19","1.11","1.76","","5","1.18","1.92","","11","13","7","5","18","200910","3","3"
4,"31",12,"2009",16,30,"2","27","4","7","2.26","0.74","","19","2.08","0.97","","8","9","20","16","9","200910","5","0"
15,"30",12,"2009",28,7,"6","17","13","8","1.37","1.03","","15","0.92","1.61","","17","9","11","7","18","200910","0","1"
1,"28",12,"2009",26,16,"19","6","12","20","0.89","1.97","","7","0.74","2.26","","19","4","7","2","27","200910","1","3"
7,"13",12,"2009",26,33,"19","6","12","20","0.89","1.97","","7","1.45","1.08","","13","11","14","10","13","200910","0","0"
7,"13",12,"2009",NULL,NULL,"","","","","","","","","","","","","","","","","200910","",""
7,"13",12,"2009",23,36,"13","11","11","16","1.26","1.47","","7","1.74","0.89","","7","7","24","20","7","200910","1","1"
6,"26",12,"2009",24,32,"18","8","6","24","1.11","2.16","","3","1.76","1.11","","5","9","19","14","10","200910","1","1"
15,"16",12,"2009",23,28,"13","11","11","16","1.26","1.47","","7","1.03","1.37","","15","13","8","6","17","200910","0","2"
