"id","match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","home_team_name_id","away_team_name_id","home_team_goal","away_team_goal"
1940,6,"12",3,"2008",5,25,"1","1"
1824,6,"26",3,"2008",34,7,"2","2"
1709,6,"3",2,"2008",31,5,"0","1"
1742,6,"3",2,"2008",28,30,"0","2"
1587,3,"11",2,"2008",30,16,"0","2"
1949,6,"12",3,"2008",23,13,"1","2"
1880,6,"19",3,"2008",10,37,"2","1"
1654,3,"11",2,"2008",4,32,"1","1"
1932,3,"13",3,"2008",7,33,"3","1"
1646,3,"11",2,"2008",37,31,"0","4"
1833,4,"21",3,"2008",13,36,"3","1"
1693,3,"4",2,"2008",20,11,"1","0"
1854,3,"20",3,"2008",22,23,"2","0"
1685,3,"4",2,"2008",32,23,"2","0"
1677,4,"5",2,"2008",7,13,"1","0"
1750,7,"29",3,"2008",37,20,"2","6"
1670,7,"6",2,"2008",22,4,"0","2"
1604,3,"11",2,"2008",5,7,"0","2"
1998,3,"6",3,"2008",25,16,"2","2"
1662,3,"11",2,"2008",34,33,"4","1"
1805,6,"26",3,"2008",23,25,"3","2"
1973,6,"12",3,"2008",32,10,"1","0"
1957,6,"12",3,"2008",31,14,"0","2"
2004,3,"6",3,"2008",NULL,NULL,"",""
1701,6,"3",2,"2008",16,10,"4","1"
1638,3,"11",2,"2008",11,22,"3","1"
1630,3,"11",2,"2008",25,13,"8","1"
1622,3,"11",2,"2008",36,14,"0","1"
1797,6,"26",3,"2008",5,32,"1","1"
1817,6,"26",3,"2008",13,14,"2","3"
1912,7,"15",3,"2008",4,30,"1","1"
1919,4,"14",3,"2008",16,20,"2","1"
1847,3,"20",3,"2008",28,34,"5","1"
1981,6,"12",3,"2008",34,11,"1","1"
1841,3,"20",3,"2008",33,16,"1","1"
1872,6,"19",3,"2008",30,5,"1","1"
1886,6,"19",3,"2008",25,32,"0","1"
1612,3,"11",2,"2008",23,20,"0","1"
1965,6,"12",3,"2008",37,28,"0","6"
1992,2,"9",3,"2008",10,36,"0","1"
1595,3,"11",2,"2008",10,28,"2","2"
1780,6,"26",3,"2008",30,31,"0","0"
1894,6,"19",3,"2008",14,7,"0","2"
1900,5,"18",3,"2008",11,4,"0","1"
1773,6,"26",3,"2008",4,16,"2","1"
1788,6,"26",3,"2008",10,22,"2","2"
1765,3,"27",3,"2008",36,33,"0","1"
1756,4,"28",3,"2008",11,28,"2","2"
1924,3,"13",3,"2008",36,22,"0","0"
1735,6,"3",2,"2008",33,37,"3","1"
1727,6,"3",2,"2008",14,34,"2","0"
1860,6,"19",3,"2008",20,31,"2","0"
