"match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","away_team_name_id","home_team_name_id","home_position","home_won","home_drawn","home_lost","home_avg_goal","home_avg_conceded","home_change_created","home_clean_sheet","away_avg_conceded","away_avg_goal","away_change_created","away_clean_sheet","away_drawn","away_lost","away_position","away_won","season","home_team_goal","away_team_goal"
6,"21",4,"2007",13,6,"20","5","13","20","0.76","1.55","","9","1.16","0.76","","14","9","18","14","11","200607","1","1"
6,"21",4,"2007",NULL,NULL,"","","","","","","","","","","","","","","","","200607","",""
7,"22",4,"2007",25,16,"1","28","5","5","2.18","0.71","","16","1.29","1.16","","9","10","16","12","12","200607","1","1"
7,"22",4,"2007",4,22,"13","11","10","17","1","1.24","","7","0.63","1.68","","22","11","3","2","24","200607","0","0"
1,"23",4,"2007",36,28,"11","11","17","10","1.13","1.08","","13","1.11","1.18","","12","12","12","9","14","200607","0","0"
6,"28",4,"2007",28,13,"14","11","9","18","0.76","1.16","","14","1.08","1.13","","13","17","10","11","11","200607","0","2"
6,"28",4,"2007",16,11,"6","15","13","10","1.37","0.95","","14","0.71","2.18","","16","5","5","1","28","200607","2","4"
6,"28",4,"2007",10,30,"17","10","8","20","0.97","1.55","","10","1.55","0.92","","9","5","21","15","12","200607","0","3"
6,"28",4,"2007",7,36,"9","14","12","12","1.18","1.11","","12","0.71","1.5","","20","8","10","3","20","200607","2","1"
6,"28",4,"2007",32,4,"2","24","11","3","1.68","0.63","","22","1.37","1.24","","12","8","14","7","16","200607","2","2"
6,"28",4,"2007",5,25,"12","12","10","16","1.16","1.29","","9","1.42","1.5","","6","9","12","5","17","200607","2","3"
6,"28",4,"2007",39,33,"10","15","7","16","1.37","1.42","","8","1.58","0.89","","11","10","20","19","8","200607","4","1"
6,"28",4,"2007",6,38,"18","10","8","20","0.84","1.45","","9","1.55","0.76","","9","13","20","20","5","200607","1","0"
1,"30",4,"2007",14,20,"4","19","11","8","1.66","0.92","","12","1.58","1","","7","15","15","16","8","200607","3","1"
2,"1",5,"2007",22,31,"8","16","7","15","1.37","1.24","","13","1.24","1","","7","10","17","13","11","200607","1","0"
4,"10",5,"2007",16,4,"2","24","11","3","1.68","0.63","","22","0.71","2.18","","16","5","5","1","28","200607","0","0"
5,"11",5,"2007",33,5,"5","17","9","12","1.5","1.42","","6","1.42","1.37","","8","7","16","10","15","200607","1","1"
7,"13",5,"2007",13,5,"5","17","9","12","1.5","1.42","","6","1.16","0.76","","14","9","18","14","11","200607","2","1"
7,"13",5,"2007",31,33,"10","15","7","16","1.37","1.42","","8","1.24","1.37","","13","7","15","8","16","200607","3","3"
7,"13",5,"2007",28,32,"7","16","8","14","1.24","1.37","","12","1.08","1.13","","13","17","10","11","11","200607","2","2"
7,"13",5,"2007",11,4,"2","24","11","3","1.68","0.63","","22","0.95","1.37","","14","13","10","6","15","200607","1","1"
7,"13",5,"2007",39,7,"3","20","8","10","1.5","0.71","","20","1.58","0.89","","11","10","20","19","8","200607","2","2"
7,"13",5,"2007",10,16,"1","28","5","5","2.18","0.71","","16","1.55","0.92","","9","5","21","15","12","200607","0","1"
7,"13",5,"2007",14,25,"12","12","10","16","1.16","1.29","","9","1.58","1","","7","15","15","16","8","200607","3","1"
7,"13",5,"2007",20,36,"9","14","12","12","1.18","1.11","","12","0.92","1.66","","12","11","8","4","19","200607","0","0"
7,"13",5,"2007",30,38,"18","10","8","20","0.84","1.45","","9","1.55","0.97","","10","8","20","17","10","200607","1","2"
7,"13",5,"2007",22,6,"20","5","13","20","0.76","1.55","","9","1.24","1","","7","10","17","13","11","200607","1","1"
6,"5",5,"2007",33,22,"13","11","10","17","1","1.24","","7","1.42","1.37","","8","7","16","10","15","200607","0","2"
6,"5",5,"2007",36,11,"6","15","13","10","1.37","0.95","","14","1.11","1.18","","12","12","12","9","14","200607","3","0"
6,"5",5,"2007",16,13,"14","11","9","18","0.76","1.16","","14","0.71","2.18","","16","5","5","1","28","200607","0","1"
6,"5",5,"2007",25,30,"17","10","8","20","0.97","1.55","","10","1.29","1.16","","9","10","16","12","12","200607","0","1"
6,"5",5,"2007",7,14,"16","8","15","15","1","1.58","","7","0.71","1.5","","20","8","10","3","20","200607","1","0"
6,"5",5,"2007",32,10,"15","12","5","21","0.92","1.55","","9","1.37","1.24","","12","8","14","7","16","200607","3","1"
6,"5",5,"2007",6,31,"8","16","7","15","1.37","1.24","","13","1.55","0.76","","9","13","20","20","5","200607","0","2"
7,"6",5,"2007",38,28,"11","11","17","10","1.13","1.08","","13","1.45","0.84","","9","8","20","18","10","200607","3","0"
1,"7",5,"2007",4,20,"4","19","11","8","1.66","0.92","","12","0.63","1.68","","22","11","3","2","24","200607","1","1"
2,"8",5,"2007",5,39,"19","8","10","20","0.89","1.58","","11","1.42","1.5","","6","9","12","5","17","200607","0","2"
6,"11",8,"2007",33,25,"13","10","12","16","1.13","1.39","","8","1.26","1.32","","8","13","10","7","15","200708","1","2"
6,"11",8,"2007",30,11,"5","19","8","11","1.45","0.87","","14","1.34","0.89","","12","10","18","14","10","200708","2","1"
6,"11",8,"2007",36,37,"20","1","8","29","0.53","2.34","","3","1.05","1.26","","16","9","13","8","16","200708","2","2"
6,"11",8,"2007",22,32,"16","9","10","19","0.95","1.42","","12","1.71","1.18","","8","10","17","12","11","200708","1","3"
