"match_date_day","match_date_month","match_date_weekday","match_date_year","home_team_name","away_team_name","home_team_goal","away_team_goal","home_team_line_1_count","home_team_line_2_count","home_team_line_3_count","home_team_line_4_count","home_team_line_5_count","home_team_line_6_count","home_team_player_1_position","home_team_player_2_position","home_team_player_3_position","home_team_player_4_position","home_team_player_5_position","home_team_player_6_position","home_team_player_7_position","home_team_player_8_position","home_team_player_9_position","home_team_player_10_position","home_team_player_11_position","player_name","player_name-2","player_name-3","player_name-4","player_name-5","player_name-6","player_name-7","player_name-8","player_name-9","player_name-10","player_name-11","player_back_number","player_back_number-2","player_back_number-3","player_back_number-4","player_back_number-5","player_back_number-6","player_back_number-7","player_back_number-8","player_back_number-9","player_back_number-10","player_back_number-11","player_nation","player_nation-2","player_nation-3","player_nation-4","player_nation-5","player_nation-6","player_nation-7","player_nation-8","player_nation-9","player_nation-10","player_nation-11","home_team_player_sub_1_position","home_team_player_sub_2_position","home_team_player_sub_3_position","home_team_player_sub_4_position","home_team_player_sub_5_position","home_team_player_sub_6_position","home_team_player_sub_7_position","player_name-12","player_name-13","player_name-14","player_name-15","player_name-16","player_name-17","player_name-18","player_back_number-12","player_back_number-13","player_back_number-14","player_back_number-15","player_back_number-16","player_back_number-17","player_back_number-18","player_nation-12","player_nation-13","player_nation-14","player_nation-15","player_nation-16","player_nation-17","player_nation-18","away_team_line_1_count","away_team_line_2_count","away_team_line_3_count","away_team_line_4_count","away_team_line_5_count","away_team_line_6_count","away_team_player_1_position","away_team_player_2_position","away_team_player_3_position","away_team_player_4_position","away_team_player_5_position","away_team_player_6_position","away_team_player_7_position","away_team_player_8_position","away_team_player_9_position","away_team_player_10_position","away_team_player_11_position","player_name-19","player_name-20","player_name-21","player_name-22","player_name-23","player_name-24","player_name-25","player_name-26","player_name-27","player_name-28","player_name-29","player_back_number-19","player_back_number-20","player_back_number-21","player_back_number-22","player_back_number-23","player_back_number-24","player_back_number-25","player_back_number-26","player_back_number-27","player_back_number-28","player_back_number-29","player_nation-19","player_nation-20","player_nation-21","player_nation-22","player_nation-23","player_nation-24","player_nation-25","player_nation-26","player_nation-27","player_nation-28","player_nation-29","away_team_player_sub_1_position","away_team_player_sub_2_position","away_team_player_sub_3_position","away_team_player_sub_4_position","away_team_player_sub_5_position","away_team_player_sub_6_position","away_team_player_sub_7_position","player_name-30","player_name-31","player_name-32","player_name-33","player_name-34","player_name-35","player_name-36","player_back_number-30","player_back_number-31","player_back_number-32","player_back_number-33","player_back_number-34","player_back_number-35","player_back_number-36","player_nation-30","player_nation-31","player_nation-32","player_nation-33","player_nation-34","player_nation-35","player_nation-36"
"1","April","Saturday","2017","Burnley","Tottenham Hotspur","0","2","4","4","2","0","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Tom Heaton","Matthew Lowton","Michael Keane","Ben Mee","Stephen Ward","Jeff Hendrick","Joey Barton","George Boyd","Scott Arfield","Andre Gray","Ashley Barnes","1","2","5","6","23","13","19","21","37","7","10","England","England","England","England","Ireland","Ireland","England","Scotland","Canada","England","Austria","Goalkeeper","Defender","Defender","Midfielder","Midfielder","Midfielder","Forward","Paul Robinson","Jon Flanagan","James Tarkowski","Robbie Brady","Steven Defour","Ashley Westwood","Sam Vokes","17","4","26","12","16","18","9","England","England","England","Ireland","Belgium","England","Wales","3","4","2","1","0","0","Goalkeeper","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Forward","Hugo Lloris","Toby Alderweireld","Jan Vertonghen","Eric Dier","Kieran Trippier","Victor Wanyama","Harry Winks","Ben Davies","Vincent Janssen","Dele Alli","Christian Eriksen","1","4","5","15","16","12","29","33","9","20","23","France","Belgium","Belgium","England","England","Kenya","England","Wales","Netherlands","England","Denmark","Goalkeeper","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Michel Vorm","Kyle Walker","Cameron Carter-Vickers","Son Heung-Min","Georges-Kévin Nkoudou","Moussa Sissoko","Mousa Dembélé","13","2","38","7","14","17","19","Netherlands","England","United States","South Korea","France","France","Belgium"
"1","April","Saturday","2017","Chelsea","Crystal Palace","1","2","3","4","2","1","0","0","Goalkeeper","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Thibaut Courtois","Gary Cahill","César Azpilicueta","David Luiz","Marcos Alonso","Cesc Fàbregas","N'Golo Kanté","Pedro","Nemanja Matic","Eden Hazard","Diego Costa","13","24","28","30","3","4","7","11","21","10","19","Belgium","England","Spain","Brazil","Spain","Spain","France","Spain","Serbia","Belgium","Spain","Goalkeeper","Defender","Defender","Midfielder","Midfielder","Midfielder","Forward","Asmir Begovic","Kurt Zouma","John Terry","Ruben Loftus-Cheek","Willian","Nathaniel Chalobah","Michy Batshuayi","1","5","26","14","22","29","23","Bosnia And Herzegovina","France","England","England","Brazil","England","Belgium","4","2","3","1","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Wayne Hennessey","Joel Ward","James Tomkins","Mamadou Sakho","Jeffrey Schlupp","Luka Milivojevic","Yohan Cabaye","Andros Townsend","Wilfried Zaha","Jason Puncheon","Christian Benteke","13","2","5","12","31","28","7","10","11","42","17","Wales","England","England","France","Ghana","Serbia","France","England","Cote D'Ivoire","England","Belgium","Goalkeeper","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Julian Speroni","Scott Dann","Damien Delaney","Martin Kelly","Joe Ledley","Bakary Sako","Sullay Kaikai","1","6","27","34","16","26","25","Argentina","England","Ireland","England","Wales","Mali","England"
"1","April","Saturday","2017","Hull City","West Ham United","2","1","3","4","1","2","0","0","Goalkeeper","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Forward","Eldin Jakupovic","Harry Maguire","Curtis Davies","Andrea Ranocchia","Andrew Robertson","Alfred N'Diaye","Sam Clucas","Ahmed El Mohamady","Abel Hernández","Oumar Niasse","Lazar Markovic","16","5","6","13","3","10","11","27","9","24","50","Switzerland","England","England","Italy","Scotland","Senegal","England","Egypt","Uruguay","Senegal","Serbia","Goalkeeper","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Forward","David Marshall","Michael Dawson","David Meyler","Kamil Grosicki","Shaun Maloney","Markus Henriksen","Adama Diomande","23","21","7","17","15","22","20","Scotland","England","Ireland","Poland","Scotland","Norway","Norway","4","2","3","1","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Darren Randolph","Aaron Cresswell","José Fonte","James Collins","Sam Byram","Sofiane Feghouli","Cheikhou Kouyaté","Robert Snodgrass","André Ayew","Manuel Lanzini","Andy Carroll","1","3","23","19","22","7","8","11","20","10","9","Ireland","England","Portugal","Wales","England","Algeria","Senegal","Scotland","Ghana","Argentina","England","Goalkeeper","Defender","Midfielder","Midfielder","Midfielder","Forward","Forward","Adrián","Arthur Masuaku","Håvard Nordtveit","Mark Noble","Edimilson Fernandes","Ashley Fletcher","Jonathan Calleri","13","26","4","16","31","24","28","Spain","The Democratic Republic Of Congo","Norway","England","Switzerland","England","Argentina"
"1","April","Saturday","2017","Leicester City","Stoke City","2","0","4","4","1","1","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Kasper Schmeichel","Danny Simpson","Robert Huth","Christian Fuchs","Yohan Benalouane","Daniel Drinkwater","Demarai Gray","Wilfred Ndidi","Riyad Mahrez","Jamie Vardy","Shinji Okazaki","1","17","6","28","29","4","22","25","26","9","20","Denmark","England","Germany","Austria","Tunisia","England","England","Nigeria","Algeria","England","Japan","Goalkeeper","Defender","Midfielder","Midfielder","Forward","Forward","Forward","Ron-Robert Zieler","Ben Chilwell","Andy King","Daniel Amartey","Ahmed Musa","Islam Slimani","Leonardo Ulloa","21","3","10","13","7","19","23","Germany","England","Wales","Ghana","Nigeria","Algeria","Argentina","4","4","2","0","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Lee Grant","Erik Pieters","Glen Johnson","Bruno Martins Indi","Ryan Shawcross","Joe Allen","Glenn Whelan","Marko Arnautovic","Ramadan Sobhi","Jonathan Walters","Saido Berahino","33","3","8","15","17","4","6","10","32","19","9","England","Netherlands","England","Netherlands","England","Wales","Ireland","Austria","Egypt","Ireland","Burundi","Goalkeeper","Defender","Midfielder","Midfielder","Midfielder","Forward","Forward","Shay Given","Marc Muniesa","Ibrahim Afellay","Charlie Adam","Giannelli Imbula","Mame Biram Diouf","Peter Crouch","24","5","14","16","21","18","25","Ireland","Spain","Netherlands","Scotland","The Democratic Republic Of Congo","Senegal","England"
"1","April","Saturday","2017","Liverpool","Everton","3","1","4","3","3","0","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Forward","Forward","Forward","Simon Mignolet","Nathaniel Clyne","Dejan Lovren","James Milner","Joel Matip","Georginio Wijnaldum","Lucas Leiva","Emre Can","Roberto Firmino","Sadio Mané","Coutinho","22","2","6","7","32","5","21","23","11","19","10","Belgium","England","Croatia","England","Cameroon","Netherlands","Brazil","Germany","Brazil","Senegal","Brazil","Goalkeeper","Defender","Defender","Defender","Midfielder","Midfielder","Forward","Loris Karius","Trent Alexander-Arnold","Ragnar Klavan","Alberto Moreno","Marko Grujic","Ben Woodburn","Divock Origi","1","66","17","18","16","58","27","Germany","England","Estonia","Spain","Serbia","Wales","Belgium","3","4","2","1","0","0","Goalkeeper","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Forward","Joel Robles","Ashley Williams","Phil Jagielka","Matthew Pennington","Leighton Baines","Idrissa Gueye","Mason Holgate","Tom Davies","Ross Barkley","Romelu Lukaku","Dominic Calvert-Lewin","1","5","6","38","3","17","30","26","8","10","29","Spain","Wales","England","England","England","Senegal","England","England","England","Belgium","England","Goalkeeper","Defender","Midfielder","Midfielder","Forward","Forward","Forward","Maarten Stekelenburg","Jonjoe Kenny","Kevin Mirallas","Gareth Barry","Arouna Koné","Enner Valencia","Ademola Lookman","22","43","11","18","9","19","31","Netherlands","England","Belgium","England","Cote D'Ivoire","Ecuador","England"
"1","April","Saturday","2017","Manchester United","West Bromwich Albion","0","0","4","2","3","1","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","David De Gea","Eric Bailly","Marcos Rojo","Ashley Young","Antonio Valencia","Anthony Martial","Jesse Lingard","Michael Carrick","Henrikh Mkhitaryan","Marouane Fellaini","Marcus Rashford","1","3","5","18","25","11","14","16","22","27","19","Spain","Cote D'Ivoire","Argentina","England","Ecuador","France","England","England","Armenia","Belgium","England","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Forward","Sergio Romero","Daley Blind","Timothy Fosu-Mensah","Matteo Darmian","Axel Tuanzebe","Matty Willock","Wayne Rooney","20","17","24","36","38","42","10","Argentina","Netherlands","Netherlands","Italy","England","England","England","4","5","1","0","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Ben Foster","Allan Nyom","Jonny Evans","Gareth McAuley","Craig Dawson","Jake Livermore","Nacer Chadli","Chris Brunt","James McClean","Darren Fletcher","Hal Robson-Kanu","1","2","6","23","25","8","22","11","14","24","4","England","Cameroon","Northern Ireland","Northern Ireland","England","England","Belgium","Northern Ireland","Ireland","Scotland","Wales","Goalkeeper","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Boaz Myhill","Marc Wilson","Claudio Yacob","James Morrison","Rekeem Harper","Sam Field","Salomón Rondón","13","12","5","7","34","47","9","Wales","Ireland","Argentina","Scotland","England","England","Venezuela"
"1","April","Saturday","2017","Watford","Sunderland","1","0","4","5","1","0","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Heurelho Gomes","Miguel Britos","Younes Kaboul","Craig Cathcart","José Holebas","Nordin Amrabat","Tom Cleverley","Abdoulaye Doucouré","M'Baye Niang","Etienne Capoue","Stefano Okaka","1","3","4","15","25","7","8","16","21","29","33","Brazil","Uruguay","France","Northern Ireland","Greece","Morocco","England","France","Senegal","France","Italy","Goalkeeper","Defender","Defender","Defender","Defender","Forward","Forward","Costel Pantilimon","Daryl Janmaat","Sebastian Prödl","Adrian Mariappa","Juan Camilo Zuñiga","Troy Deeney","Isaac Success","30","22","5","6","18","9","10","Romania","Netherlands","Austria","Jamaica","Colombia","England","Nigeria","4","2","3","1","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Jordan Pickford","Billy Jones","Bryan Oviedo","John O'Shea","Lamine Koné","Jason Denayer","Jack Rodwell","Fabio Borini","Darron Gibson","Adnan Januzaj","Jermain Defoe","13","2","3","16","23","4","8","9","24","44","18","England","England","Costa Rica","Ireland","Cote D'Ivoire","Belgium","England","Italy","Ireland","Belgium","England","Goalkeeper","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Vito Mannone","Papy Djilobodji","Javier Manquillo","Lee Cattermole","Sebastian Larsson","Wahbi Khazri","Didier Ndong","1","5","21","6","7","10","17","Italy","Senegal","Spain","England","Sweden","Tunisia","Gabon"
"1","April","Sunday","2018","Arsenal","Stoke City","3","0","4","2","3","1","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","David Ospina","Héctor Bellerín","Nacho Monreal","Shkodran Mustafi","Calum Chambers","Mohamed Elneny","Aaron Ramsey","Mesut Özil","Jack Wilshere","Danny Welbeck","Pierre-Emerick Aubameyang","13","24","18","20","21","35","8","11","10","23","14","Colombia","Spain","Spain","Germany","England","Egypt","Wales","Germany","England","England","Gabon","Goalkeeper","Defender","Defender","Midfielder","Midfielder","Midfielder","Forward","Matt Macey","Laurent Koscielny","Sead Kolasinac","Henrikh Mkhitaryan","Alex Iwobi","Granit Xhaka","Alexandre Lacazette","54","6","31","7","17","29","9","England","France","Bosnia And Herzegovina","Armenia","Nigeria","Switzerland","France","4","4","1","1","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Jack Butland","Erik Pieters","Glen Johnson","Bruno Martins Indi","Ryan Shawcross","Moritz Bauer","Joe Allen","Badou Ndiaye","Ramadan Sobhi","Mame Biram Diouf","Xherdan Shaqiri","1","3","8","15","17","2","4","27","32","18","22","England","Netherlands","England","Netherlands","England","Austria","Wales","Senegal","Egypt","Senegal","Switzerland","Goalkeeper","Defender","Midfielder","Midfielder","Forward","Forward","Forward","Jakob Haugaard","Geoff Cameron","Stephen Ireland","Lasse Sorensen","Saido Berahino","Peter Crouch","Tyrese Campbell","29","20","7","55","9","25","40","Denmark","United States","Ireland","Denmark","Burundi","England","England"
"1","April","Sunday","2018","Everton","Manchester City","1","3","4","2","3","1","0","0","Goalkeeper","Defender","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Jordan Pickford","Leighton Baines","Michael Keane","Phil Jagielka","Seamus Coleman","Yannick Bolasie","Wayne Rooney","Theo Walcott","Morgan Schneiderlin","Dominic Calvert-Lewin","Cenk Tosun","1","3","4","6","23","7","10","11","2","29","14","England","England","England","England","Ireland","The Democratic Republic Of Congo","England","England","France","England","Turkey","Goalkeeper","Defender","Defender","Midfielder","Midfielder","Forward","Forward","Joel Robles","Cuco Martina","Ramiro Funes Mori","Tom Davies","Beni Baningime","Nikola Vlasic","Oumar Niasse","33","15","25","26","54","27","19","Spain","Curacao","Argentina","England","The Democratic Republic Of Congo","Croatia","Senegal","3","5","2","0","0","0","Goalkeeper","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Ederson","Vincent Kompany","Aymeric Laporte","Nicolás Otamendi","Kyle Walker","Kevin De Bruyne","Leroy Sané","David Silva","Fernandinho","Raheem Sterling","Gabriel Jesus","31","4","14","30","2","17","19","21","25","7","33","Brazil","Belgium","France","Argentina","England","Belgium","Germany","Spain","Brazil","England","Brazil","Goalkeeper","Defender","Defender","Midfielder","Midfielder","Midfielder","Forward","Claudio Bravo","Danilo","Tosin Adarabioyo","Ilkay Gündogan","Bernardo Silva","Oleksandr Zinchenko","Lukas Nmecha","1","3","24","8","20","35","43","Chile","Brazil","England","Germany","Portugal","Ukraine","England"
"1","December","Saturday","2018","Cardiff City","Wolverhampton Wanderers","2","1","3","1","4","2","0","0","Goalkeeper","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Neil Etheridge","Sean Morrison","Bruno Ecuele Manga","Sol Bamba","Harry Arter","Joe Ralls","Aron Gunnarsson","Víctor Camarasa","David Junior Hoilett","Josh Murphy","Callum Paterson","1","4","5","22","7","8","17","21","33","11","13","Philippines","England","Gabon","Cote D'Ivoire","Ireland","England","Iceland","Spain","Canada","England","Scotland","Goalkeeper","Defender","Defender","Midfielder","Midfielder","Forward","Forward","Alex Smithies","Lee Peltier","Joe Bennett","Bobby Reid","Kadeem Harris","Danny Ward","Nathaniel Mendez-Laing","12","2","3","14","23","9","19","England","England","England","England","England","England","England","3","4","2","1","0","0","Goalkeeper","Defender","Defender","Defender","Midfielder","Midfielder","Midfielder","Midfielder","Forward","Forward","Forward","Rui Patrício","Willy Boly","Conor Coady","Romain Saïss","Matt Doherty","Rúben Neves","João Moutinho","Rúben Vinagre","Raúl Jiménez","Hélder Costa","Adama Traoré","11","15","16","27","2","8","28","29","9","10","37","Portugal","France","England","Morocco","Ireland","Portugal","Portugal","Portugal","Mexico","Portugal","Spain","Goalkeeper","Defender","Midfielder","Midfielder","Midfielder","Forward","Forward","John Ruddy","Ryan Bennett","Ryan John Giles","Morgan Gibbs-White","Diogo Jota","Ivan Cavaleiro","Léo Bonatini","21","5","23","17","18","7","33","England","England","England","England","Portugal","Portugal","Brazil"
